City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Saint-Augustin,90,CA,1562897595,66.99,8.05,45.63,-73.98,93
Bluff,0,AU,1562897595,72.13,2.84,-23.58,149.07,32
Naze,100,NG,1562897595,71.64,5.86,5.43,7.07,97
Kapaa,20,US,1562897596,86,11.41,22.08,-159.32,66
Mukhen,98,RU,1562897596,80.84,6.42,48.19,136.14,61
Yulara,100,AU,1562897596,60.8,5.82,-25.24,130.99,26
Rikitea,0,PF,1562897596,73.35,14.32,-23.12,-134.97,81
Carnarvon,0,ZA,1562897445,44.34,2.53,-30.97,22.13,39
Qaanaaq,49,GL,1562897596,45.85,9.08,77.48,-69.36,51
Ko Samui,20,TH,1562897597,87.8,2.24,9.54,99.94,74
Wad Rawah,74,SD,1562897597,80.53,16.4,15.16,33.13,65
Kodiak,1,US,1562897597,80.6,4.7,39.95,-94.76,31
Ponta do Sol,0,BR,1562897597,54.33,2.8,-20.63,-46,59
Mirzapur,90,IN,1562897598,80.6,3.36,25.15,82.57,88
Smithers,75,CA,1562897322,69.8,8.05,54.78,-127.17,56
Thompson,75,CA,1562897598,59,3.36,55.74,-97.86,87
Puerto Ayora,0,EC,1562897598,71.01,3,-0.74,-90.35,93
Zhangjiakou,32,CN,1562897598,75.64,4.14,40.77,114.88,36
Kijang,40,KR,1562897598,78.8,6.93,35.24,129.21,65
Vaini,75,IN,1562897599,71.6,9.17,15.34,74.49,94
Marzuq,50,YE,1562897599,77.89,5.64,14.4,46.47,38
Lucapa,0,AO,1562897599,60.21,4.85,-8.42,20.74,36
Drezdenko,50,PL,1562897599,55.88,4.16,52.84,15.83,78
Fare,30,PF,1562897599,78.3,5.03,-16.7,-151.02,68
Dwarka,40,IN,1562897600,93,11.41,28.58,77.04,49
Mataura,100,NZ,1562897600,46.99,4,-46.19,168.86,84
San Quintin,0,PH,1562897600,87.12,4.9,17.54,120.52,66
Milici,40,IT,1562897600,78.8,6.93,38.08,15.17,69
Chokurdakh,28,RU,1562897601,62.34,8.72,70.62,147.9,54
Surab,0,PK,1562897601,79.85,2.73,28.49,66.26,43
Souillac,0,FR,1562897601,66.2,4.7,45.6,-0.6,82
Kieta,100,PG,1562897309,81.87,2.26,-6.22,155.63,75
Zhigansk,34,RU,1562897601,84.91,12.66,66.77,123.37,31
Hithadhoo,0,MV,1562897464,84.17,10.71,-0.6,73.08,75
Oleksandrivka,0,UA,1562897602,51.65,5.95,48.97,32.24,92
Upernavik,67,GL,1562897602,43.8,11.14,72.79,-56.15,93
Martapura,0,ID,1562897602,84.71,9.71,-3.41,114.85,66
Karachi,40,PK,1562897542,86,17.22,24.87,67.03,74
Busselton,100,AU,1562897602,59,7.29,-33.64,115.35,64
Jamestown,100,AU,1562897423,52.67,20.58,-33.21,138.6,73
Ushuaia,75,AR,1562897603,37.4,9.17,-54.81,-68.31,93
Albany,40,US,1562897502,75.99,4.97,42.65,-73.75,94
Hermanus,100,ZA,1562897603,54,13.62,-34.42,19.24,99
Cape Town,75,ZA,1562897603,55.99,9.17,-33.93,18.42,93
Avarua,2,CK,1562897379,73.64,3.96,-21.21,-159.78,77
Cayenne,5,GF,1562897502,75.2,3.8,4.94,-52.33,94
Leshukonskoye,5,RU,1562897655,45.29,8.28,64.9,45.76,73
Butaritari,55,KI,1562897655,85.02,10.38,3.07,172.79,75
Takoradi,99,GH,1562897655,72.47,4.52,4.89,-1.75,93
Mar del Plata,0,AR,1562897656,40,7.07,-46.43,-67.52,67
Gat,100,SN,1562897656,73.4,4.7,14.69,-16.54,83
